number,label,train,habitat_1_mean,habitat_1_std,habitat_1_area,habitat_1_contrast,habitat_1_dissimilarity,habitat_1_homogeneity,habitat_1_ASM,habitat_1_correlation,habitat_2_mean,habitat_2_std,habitat_2_area,habitat_2_contrast,habitat_2_dissimilarity,habitat_2_homogeneity,habitat_2_ASM,habitat_2_correlation,habitat_3_mean,habitat_3_std,habitat_3_area,habitat_3_contrast,habitat_3_dissimilarity,habitat_3_homogeneity,habitat_3_ASM,habitat_3_correlation
23,1,1,0.0649462267756462,0.0320119634270668,81313,39.75868014592450,3.5556684876974500,0.3621643790321570,0.0042993520715202,0.70365345184508,0.1804983764886860,0.0355669036507606,59492,67.73726945270990,5.675348456191500,0.1949203252662000,0.0017943512982752,0.5433942121608860,0.3119796514511110,0.0600423328578472,34947,229.0143884090280,8.711016996377820,0.1697428499932210,0.001302380784728,0.5601501999177810
24,1,1,0.1266715824604030,0.0404688827693462,13029,89.08746629147620,6.551647320905150,0.1641181550535640,0.0012666347244435,0.5853513121422710,0.2538094818592070,0.040410965681076,14143,79.08812212594240,6.278412112491010,0.1613011325338530,0.0013586826740254,0.5903879536812420,0.4224958121776580,0.0763247236609458,5786,111.97447495961200,7.406462035541200,0.1370155343364380,0.0009422018420455,0.8367785582141190
25,1,1,0.0424520634114742,0.0284900274127721,22773,68.97570252143650,6.162424654045340,0.1876735875291200,0.0036776329578985,0.3137943365262010,0.1341924667358400,0.0290025416761636,22184,77.03274772066110,6.918691391331200,0.1255959160356520,0.0016762223420873,0.2520297773967990,0.2538276612758640,0.0699137076735496,5771,250.41467561521300,10.954093959731500,0.1040447226582220,0.0011597235359768,0.6149006206318590
26,1,1,0.0478027500212192,0.0340012349188327,26489,65.07995866434150,5.054059290835110,0.274504223860942,0.0054076071641082,0.5405635885254430,0.1618239879608150,0.0375392027199268,41115,68.08458070031350,5.628186861999030,0.1982846562015930,0.0017643352611718,0.6125341291390720,0.334793359041214,0.0786825865507125,10145,159.06074007220200,7.681498194945850,0.1475470365655650,0.0009913339480509,0.7897539841203470
27,1,1,0.0626354292035102,0.0338393002748489,21561,101.51792228927900,7.069858276259580,0.1870944436700600,0.0017745861299682,0.2980211037196840,0.1718257367610930,0.0371288396418094,17442,67.04014573608110,5.75948992371627,0.1797249985377360,0.0016984603367473,0.5806936214432340,0.3213736116886140,0.0873374640941619,7802,121.5544439699870,6.902824376258160,0.1650458257154600,0.0013669943296972,0.8670880004959360
28,1,1,0.1237077116966250,0.0371482409536838,16705,53.94355774010050,4.700833931628650,0.2176535227568290,0.0023254162741391,0.6919989326383920,0.2261184751987460,0.030784523114562,22043,55.15037899796640,5.435237567017930,0.174616931174072,0.0019469136588598,0.5121236712350730,0.343093067407608,0.0506517365574836,10208,111.9728134501880,6.96226077624754,0.1565459220415580,0.0014451667970226,0.6593802821657270
29,1,1,0.1055990532040600,0.0438981316983699,33885,147.35868372344400,8.460844212216020,0.1492702665755540,0.0010757960491364,0.3887848212907900,0.2368422448635100,0.0450574420392513,27064,100.23670253068600,6.906032594470240,0.1606172953089490,0.0012041914617428,0.5824258217794710,0.4419136345386510,0.0870668962597847,8589,64.83835383962670,5.531971634644520,0.1729465022942370,0.0009449336340311,0.9316741388377870
30,1,1,0.0989052802324295,0.0426608584821224,34957,130.3379468921530,8.020486574692180,0.1485423753301180,0.0009691169098728,0.4401532240792650,0.2502751648426060,0.0589715354144573,16343,182.57708605281700,9.447494728386390,0.119360130002337,0.0007894453815518,0.5657405647507850,0.5887542366981510,0.1232287883758540,3204,175.39055793991400,8.743821222435990,0.1118598521942450,0.0004841092555061,0.9051043055285100
31,1,1,0.1618686765432360,0.0252449382096529,3027,19.293887147335400,3.4365203761755500,0.2316560385958750,0.0035383920411552,0.7553996863838400,0.2410923093557360,0.027734886854887,2236,30.772807533843400,4.399646851088880,0.1874912807683270,0.0031065949190761,0.6504214921997270,0.3656705319881440,0.0548345260322093,561,78.80451127819550,7.075187969924810,0.120305673536409,0.0024591554073152,0.7928948072443250
32,1,1,0.2085895091295240,0.0493159405887126,22394,169.37888367834300,8.902857001447680,0.1537731882820400,0.0008382176125572,0.4541306717128070,0.4128458201885220,0.0750394985079765,6932,176.00242165242200,8.363960113960120,0.1343354177820930,0.0007403146078359,0.7361485008122170,0.7354220747947690,0.1159718558192250,2713,108.09163428103900,7.077111883820820,0.1380353043381240,0.0006485981005777,0.9341198905896190
33,1,1,0.2082259356975560,0.0439219549298286,2857,31.97753259779340,4.370712136409230,0.1903342202583110,0.001701272322484,0.862754789214693,0.3484971225261690,0.0483060963451862,2518,59.76924922043660,6.035500119932840,0.1428211700653920,0.0013170460953475,0.7760906930281270,0.5682952404022220,0.0987299606204032,634,120.32947976878600,8.560693641618500,0.1016626449693960,0.0014887084618782,0.9079448452254220
34,1,1,0.1800427287817000,0.0457293018698692,20873,19.25561289276740,3.469375624780480,0.2245460633170240,0.0017794498674218,0.9252377320565730,0.3191352486610410,0.0485935099422931,17495,34.793578289783000,4.617988849331630,0.1771219204219840,0.0014604839631797,0.8706570072886650,0.5227558612823490,0.0994498506188392,5992,63.22172734314490,6.113671572424480,0.1394575846577040,0.0009451981212961,0.9516767532901100
35,1,1,0.2451237738132480,0.0493798777461051,6783,43.79044939170740,5.216585285111310,0.1567140261831430,0.0011521389042898,0.8554236070730110,0.4009090960025790,0.0727066174149513,3244,86.67915781340550,7.097933165926210,0.1272179757547470,0.0011622931086738,0.8672591944424530,0.8550201654434200,0.1322407275438310,564,85.30128205128210,6.442307692307690,0.2002513935262180,0.0053761231645847,0.9577129563741510
36,1,1,0.0894898697733879,0.039530549198389,15909,103.5315382465290,6.828193422155970,0.1869059356411550,0.0014745768018898,0.4773623336695650,0.20209401845932,0.0333981625735759,21355,72.51742192335360,6.292099496495540,0.1547391943043390,0.0015592665950367,0.4568756398609680,0.3377793133258820,0.0756718590855598,7119,307.8117713161960,9.152409046214360,0.1435747737006020,0.0013685631345961,0.6456530063904650
